audio,duuration,size,time_to_start,cpu_to_start,mem_to_start,time_to_validate,cpu_to_validate,mem_to_validate,time_to_save,cpu_to_save,mem_to_save,time_to_generate,cpu_to_generate,mem_to_generate
media/audio/XC192032_-_Common_Iora_-_Aegithina_tiphia_horizoptera.mp3,104.61947845804988,2512187,1.430511474609375e-06,22.3,91.9,0.2601125240325928,58.1,90.5,0.0932319164276123,31.4,90.5,11.948734045028687,45.1,91.1
media/audio/XC192034_-_Common_Iora_-_Aegithina_tiphia_horizoptera.mp3,93.73424036281179,2251381,1.6689300537109375e-06,17.5,92.4,0.15317392349243164,25.9,92.4,0.09420585632324219,5.1,92.4,12.326499938964844,47.7,91.9
media/audio/XC152928_-_Common_Iora_-_Aegithina_tiphia_scapularis.mp3,91.68,2201853,1.9073486328125e-06,16.1,93.2,0.16731882095336914,57.6,93.2,0.13335490226745605,22.4,93.2,10.550009489059448,41.3,92.4
media/audio/XC710196_-_Common_Iora_-_Aegithina_tiphia_cambodiana.mp3,89.00426303854876,2137905,2.1457672119140625e-06,19.3,92.8,0.2194068431854248,75.6,92.8,0.07870912551879883,19.4,92.8,12.885226726531982,64.0,93.4
media/audio/XC809682_-_Common_Iora_-_Aegithina_tiphia.mp3,94.5128798185941,2270189,2.86102294921875e-06,21.0,93.7,0.16003727912902832,25.4,93.7,0.1812729835510254,4.2,93.7,12.059674263000488,51.0,93.5
media/audio/XC161477_-_Common_Iora_-_Aegithina_tiphia.mp3,84.21598639455782,2022548,1.430511474609375e-06,18.1,91.8,0.1603860855102539,53.1,91.8,0.07668042182922363,27.6,91.8,10.416979551315308,52.8,93.5
media/audio/XC571421_-_Common_Iora_-_Aegithina_tiphia_humei.mp3,120.0,960488,1.9073486328125e-06,16.7,92.8,0.211869478225708,67.5,92.8,0.05774068832397461,28.6,92.9,13.731900453567505,41.4,92.6
media/audio/XC365432_-_Common_Iora_-_Aegithina_tiphia.mp3,79.36,1905937,1.6689300537109375e-06,19.4,94.2,0.19563508033752441,53.9,94.4,0.09465765953063965,41.0,94.4,10.404853343963623,51.1,93.9
media/audio/XC775654_-_Common_Iora_-_Aegithina_tiphia_philipi.mp3,120.0,960429,1.6689300537109375e-06,18.9,92.4,0.21100425720214844,57.3,92.4,0.0680701732635498,30.8,92.4,14.984646320343018,44.9,93.4
media/audio/XC600906_-_Common_Iora_-_Aegithina_tiphia.mp3,85.7678125,3977561,1.6689300537109375e-06,20.3,94.0,0.19332623481750488,48.0,94.0,0.23081231117248535,25.6,94.0,12.200547456741333,54.5,92.1
